cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
03273-000;-23.5818823;-46.5522869;04102-000;-23.5796083;-46.6393998
04846-000;-23.7570314;-46.67657;03244-000;-23.601001999999998;-46.5394541
04854-000;-23.7676385;-46.694887;04194-000;-23.635277;-46.615602700000004
02116-000;-23.522351800000003;-46.5872261;04533-000;-23.5826376;-46.674069700000004
03547-000;-23.5406685;-46.513146500000005;05590-000;-23.5758439;-46.7307162
04846-000;-23.7570314;-46.67657;05158-000;-23.489707;-46.758731299999994
02346-000;-23.4673367;-46.6059169;03257-000;-23.611393600000003;-46.528966100000005
02225-000;-23.4923468;-46.581895;02165-000;-23.5122483;-46.57707
08223-000;-23.5262763;-46.466044700000005;05366-000;-23.5774778;-46.75540609999999
03360-000;-23.5697294;-46.545334000000004;04623-000;-23.634825699999997;-46.67494620000001
03152-000;-23.5858581;-46.5843358;04042-000;-23.6025765;-46.638046700000004
02350-000;-23.4585273;-46.61990429999999;03202-000;-23.6002234;-46.5698414
05323-000;-23.5512567;-46.7487855;08090-000;-23.4822801;-46.4313554
04194-000;-23.635277;-46.615602700000004;02018-000;-23.498071600000003;-46.62740420000001
03374-000;-23.5759172;-46.551200099999996;01046-000;-23.546314000000002;-46.64368289999999
03267-000;-23.6012552;-46.527524;03127-000;-23.5789133;-46.586878999999996
02318-000;-23.449708899999997;-46.587312299999994;03309-000;-23.548205199999998;-46.568389
05791-000;-23.6459947;-46.782922;04809-000;-23.7159508;-46.69755749999999
01238-000;-23.543557800000002;-46.6567873;04618-000;-23.626813600000002;-46.67787740000001
04516-000;-23.604099800000004;-46.66959809999999;03060-000;-23.539147600000003;-46.587587899999995
08320-000;-23.6244728;-46.4758366;03429-000;-23.5529634;-46.5382775
03125-000;-23.5704815;-46.5876009;03193-000;-23.5756867;-46.5791309
04264-000;-23.5858706;-46.613166;01227-000;-23.541288199999997;-46.6555295
08431-000;-23.534172199999997;-46.424589399999995;05372-000;-23.583808899999998;-46.76084470000001
05138-000;-23.485645;-46.731735;05379-000;-23.5667101;-46.75392249999999
08285-000;-23.5545398;-46.4808621;05844-000;-23.6513986;-46.741719700000004
04339-000;-23.666434;-46.64258;05056-000;-23.5312182;-46.7045042
03089-000;-23.5371166;-46.558232200000006;04304-000;-23.6268109;-46.6346073
03454-000;-23.5667201;-46.5103388;01229-000;-23.5398857;-46.6597367
08280-000;-23.557155899999998;-46.466515799999996;03924-000;-23.6002014;-46.511939700000006
05537-000;-23.5871543;-46.7351565;04674-000;-23.665025600000003;-46.686229
04524-000;-23.6074685;-46.66630929999999;05791-000;-23.6459947;-46.782922
03311-000;-23.547731699999996;-46.5635172;05311-000;-23.531598300000002;-46.7418047
03274-000;-23.576575899999998;-46.55659170000001;02435-000;-23.480772199999997;-46.6384544
03648-000;-23.526263600000004;-46.5262148;04696-000;-23.6748771;-46.697063799999995
01218-000;-23.531614;-46.64338129999999;01050-000;-23.5498733;-46.642778
02136-000;-23.498731600000003;-46.5826396;05765-000;-23.6283266;-46.7606804
01226-000;-23.5398384;-46.6531041;05629-000;-23.6030169;-46.7300125
03360-000;-23.5697294;-46.545334000000004;03306-000;-23.5453468;-46.57555439999999
04816-000;-23.7052401;-46.68550140000001;05857-000;-23.662602399999997;-46.7806766
03118-000;-23.5611123;-46.5961535;05145-000;-23.5038602;-46.7186146
03758-000;-23.5045804;-46.50001899999999;01258-000;-23.5419716;-46.6833904
04822-000;-23.7316157;-46.688221;04516-000;-23.604099800000004;-46.66959809999999
05790-000;-23.637305800000004;-46.77945130000001;03178-000;-23.5544927;-46.587312299999994
04618-000;-23.626813600000002;-46.67787740000001;04007-000;-23.574273100000003;-46.6530339
03934-000;-23.590534100000003;-46.501667499999996;03461-000;-23.571331699999998;-46.525954
04140-000;-23.607492699999998;-46.633682799999995;04444-000;-23.687969600000002;-46.69015039999999
05140-000;-23.4907962;-46.7254881;02406-000;-23.488564800000002;-46.6314826
03052-000;-23.5405964;-46.6101643;04248-000;-23.613225600000003;-46.5947844
09411-000;-23.7129435;-46.39614520000001;02712-000;-23.5048684;-46.6757249
03169-000;-23.5566908;-46.594386799999995;05588-000;-23.605103600000003;-46.795753600000005
02939-000;-23.473405;-46.7321349;02440-000;-23.4754777;-46.6482824
03374-000;-23.5759172;-46.551200099999996;04105-000;-23.5783694;-46.6388074
03475-000;-23.5709081;-46.5156265;04727-000;-23.6415701;-46.71451889999999
03057-000;-23.5422671;-46.598088700000005;05411-000;-23.5560427;-46.679588200000005
04144-000;-23.6183866;-46.6354633;03532-000;-23.5433882;-46.513878600000005
02737-000;-23.488992800000002;-46.6892778;03906-000;-23.5815792;-46.5115628
03813-000;-23.4890349;-46.4739139;04710-000;-23.628745300000002;-46.69368720000001
03274-000;-23.576575899999998;-46.55659170000001;02038-000;-23.4976896;-46.622721399999996
03125-000;-23.5704815;-46.5876009;02310-000;-23.475786300000003;-46.603137200000006
05586-000;-23.573300500000002;-46.7273775;04715-000;-23.6367564;-46.692886200000004
02222-000;-23.4828407;-46.5746603;03362-000;-23.565517899999996;-46.542007399999996
01238-000;-23.543557800000002;-46.6567873;05022-000;-23.5333546;-46.687419399999996
02532-000;-23.4966587;-46.6596646;04165-000;-23.623911399999997;-46.6072005
03755-000;-23.5089842;-46.502425;03513-000;-23.5391078;-46.52408459999999
03944-000;-23.6014749;-46.493300899999994;04863-000;-23.7639164;-46.7076169
02422-000;-23.4714684;-46.6371756;03014-000;-23.5392893;-46.6035839
04809-000;-23.7159508;-46.69755749999999;02471-000;-23.4817155;-46.6524305
02266-000;-23.477508899999997;-46.5984274;03142-000;-23.592018300000003;-46.57707
03360-000;-23.5697294;-46.545334000000004;04581-000;-23.618665;-46.6878541
