cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
03288-000;-23.591558399999997;-46.5332368;08253-000;-23.541372199999998;-46.43940689999999
08253-000;-23.541372199999998;-46.43940689999999;04843-000;-23.7361069;-46.6954144
03938-000;-23.591944100000003;-46.504275299999996;01417-000;-23.5618603;-46.67453880000001
03374-000;-23.5759172;-46.551200099999996;01451-000;-23.5842928;-46.68200299999999
08060-000;-23.502655100000002;-46.453131799999994;04279-000;-23.6051343;-46.610564600000004
03374-000;-23.5759172;-46.551200099999996;02475-000;-23.483003600000004;-46.648339299999996
03089-000;-23.5371166;-46.558232200000006;04125-000;-23.6000766;-46.621714600000004
02406-000;-23.488564800000002;-46.6314826;05346-000;-23.551111499999998;-46.7401002
04662-000;-23.658916899999998;-46.6990719;04812-000;-23.7185026;-46.6917771
02069-000;-23.505239899999996;-46.6132771;05879-000;-23.686662899999998;-46.795269
08295-000;-23.547291199999997;-46.45012020000001;03542-000;-23.5299443;-46.51494659999999
04622-000;-23.6290246;-46.679835700000005;02374-000;-23.4543488;-46.6235757
04831-000;-23.7311525;-46.714037299999994;05372-000;-23.583808899999998;-46.76084470000001
04843-000;-23.7361069;-46.6954144;05424-000;-23.5697554;-46.69746929999999
04771-000;-23.6786785;-46.7115076;02614-000;-23.4734643;-46.65436589999999
03275-000;-23.590130600000002;-46.5522611;04645-000;-23.645663;-46.6798797
03624-000;-23.513355100000002;-46.508798299999995;02020-000;-23.4957589;-46.6323516
03407-000;-23.5417306;-46.549929399999996;01229-000;-23.5398857;-46.6597367
05135-000;-23.4908835;-46.7471829;04662-000;-23.658916899999998;-46.6990719
05727-000;-23.6195342;-46.73485609999999;04696-000;-23.6748771;-46.697063799999995
03874-000;-23.5118682;-46.495594700000005;03245-000;-23.604750199999998;-46.5349179
08245-000;-23.5225461;-46.440506899999995;01227-000;-23.541288199999997;-46.6555295
02020-000;-23.4957589;-46.6323516;08031-000;-23.515580399999997;-46.4193618
04703-000;-23.6231763;-46.6888239;04781-000;-23.687963600000003;-46.702532899999994
04661-000;-23.657746600000003;-46.6789846;01139-000;-23.5178131;-46.6741555
04549-000;-23.6032927;-46.676712;04543-000;-23.5901692;-46.68049370000001
03124-000;-23.568577800000003;-46.5909925;04140-000;-23.607492699999998;-46.633682799999995
01022-000;-23.5448448;-46.6334325;04152-000;-23.6223343;-46.626586700000004
04703-000;-23.6231763;-46.6888239;04143-000;-23.6206338;-46.633139299999996
05546-000;-23.5875953;-46.7689067;01455-000;-23.580031899999998;-46.6934362
02854-000;-23.458472399999998;-46.697457299999996;03165-000;-23.5566908;-46.594386799999995
01512-000;-23.5539527;-46.6311295;05423-000;-23.5718525;-46.697525799999994
03081-000;-23.5340347;-46.5746603;03193-000;-23.5756867;-46.5791309
03150-000;-23.581913;-46.59102439999999;04116-000;-23.59211;-46.6274492
02122-000;-23.5061454;-46.5906823;02802-000;-23.487966399999998;-46.6964938
02939-000;-23.473405;-46.7321349;03693-000;-23.532216100000003;-46.4785658
04809-000;-23.7159508;-46.69755749999999;05007-000;-23.537454699999998;-46.66786339999999
02460-000;-23.491554500000003;-46.6364297;04524-000;-23.6074685;-46.66630929999999
03374-000;-23.5759172;-46.551200099999996;02374-000;-23.4543488;-46.6235757
08275-000;-23.568724300000003;-46.475454;04347-000;-23.6411413;-46.6468169
03620-000;-23.511072;-46.5084406;02242-000;-23.4913156;-46.6087284
03625-000;-23.5143235;-46.5114946;04708-000;-23.631129100000003;-46.692371200000004
02618-000;-23.4672864;-46.65075760000001;08420-000;-23.5405298;-46.427291700000005
02041-000;-23.4921174;-46.61804179999999;04570-000;-23.603266;-46.6909013
04125-000;-23.6000766;-46.621714600000004;03275-000;-23.590130600000002;-46.5522611
02041-000;-23.4921174;-46.61804179999999;02722-000;-23.5027033;-46.6831026
03263-000;-23.587513100000002;-46.54695770000001;04538-000;-23.590326899999997;-46.6804869
03270-000;-23.6004604;-46.520452299999995;03591-000;-23.550918600000003;-46.48036200000001
03311-000;-23.547731699999996;-46.5635172;04689-000;-23.6693518;-46.692415600000004
08280-000;-23.557155899999998;-46.466515799999996;02521-000;-23.502504300000002;-46.663293200000005
04270-000;-23.5909812;-46.6132789;05617-000;-23.5913355;-46.7211042
02809-000;-23.472699300000002;-46.7046597;05763-000;-23.6431842;-46.7619836
04846-000;-23.7570314;-46.67657;01327-000;-23.5533104;-46.646942200000005
05528-000;-23.597131100000002;-46.7508475;04120-000;-23.593220199999998;-46.6356599
01309-000;-23.5569581;-46.65896770000001;08061-000;-23.502056;-46.4638334
03281-000;-23.581961800000002;-46.552287299999996;01332-000;-23.5598025;-46.6530639
03188-000;-23.5622355;-46.577310600000004;05634-000;-23.605718300000003;-46.7373273
04363-000;-23.6482796;-46.669374;03446-000;-23.5501234;-46.5307307
03324-000;-23.549224399999996;-46.56804279999999;02072-000;-23.4999826;-46.6110152
03181-000;-23.561388600000004;-46.5876735;01404-000;-23.566854100000004;-46.654103899999996
02423-000;-23.469236;-46.63297;01523-000;-23.564389300000002;-46.617539799999996
05379-000;-23.5667101;-46.75392249999999;04186-000;-23.644471399999997;-46.598017999999996
03930-000;-23.5806552;-46.49839009999999;01254-000;-23.5406508;-46.6824559
08240-000;-23.526460999999998;-46.4455459;02611-000;-23.471459399999997;-46.6665266
03181-000;-23.561388600000004;-46.5876735;04717-000;-23.635460000000002;-46.6984727
04811-000;-23.7105764;-46.695848600000005;05017-000;-23.5419693;-46.6833889
02671-000;-23.4677562;-46.6647377;04195-000;-23.6569719;-46.61322879999999
04691-000;-23.6668358;-46.6931531;05051-000;-23.5282375;-46.701629600000004
03944-000;-23.6014749;-46.493300899999994;05726-000;-23.6195342;-46.73485609999999
03257-000;-23.611393600000003;-46.528966100000005;05634-000;-23.605718300000003;-46.7373273
08120-000;-23.5002972;-46.3936691;04144-000;-23.6183866;-46.6354633
08280-000;-23.557155899999998;-46.466515799999996;03623-000;-23.518981;-46.5170641
04069-000;-23.6254052;-46.64534219999999;05060-000;-23.5322889;-46.713066600000005
02633-000;-23.4621534;-46.6512121;02243-000;-23.4916515;-46.6035839
01022-000;-23.5448448;-46.6334325;04041-000;-23.6013552;-46.6397316
03513-000;-23.5391078;-46.52408459999999;04206-000;-23.5866263;-46.6041561
03690-000;-23.527349800000003;-46.4790647;01314-000;-23.5521928;-46.6459975
02136-000;-23.498731600000003;-46.5826396;02114-000;-23.5218419;-46.5909902
04537-000;-23.587918300000002;-46.6789831;02875-000;-23.4626591;-46.68148559999999
05116-000;-23.5122465;-46.7472719;02925-000;-23.5008851;-46.69974939999999
02253-000;-23.4788267;-46.5955443;05577-000;-23.577614699999998;-46.7243724
02312-000;-23.4661768;-46.5993846;01403-000;-23.569487300000002;-46.6541838
04821-000;-23.7261738;-46.6838141;04015-000;-23.5840561;-46.63704310000001
04846-000;-23.7570314;-46.67657;05614-000;-23.5959213;-46.712196899999995
03145-000;-23.5915359;-46.5722508;08060-000;-23.502655100000002;-46.453131799999994
03453-000;-23.568141100000002;-46.509688;05633-000;-23.5999456;-46.73938709999999
05409-000;-23.5586809;-46.6748032;05027-000;-23.5337238;-46.6929631
03215-000;-23.6082789;-46.5576499;03210-000;-23.5964344;-46.5556688
04537-000;-23.587918300000002;-46.6789831;03918-000;-23.591975100000003;-46.5195218
04784-000;-23.691764000000003;-46.71521729999999;05335-000;-23.5512567;-46.7487855
02201-000;-23.4855348;-46.5922002;08240-000;-23.526460999999998;-46.4455459
08062-000;-23.5085486;-46.473481400000004;03213-000;-23.605148899999996;-46.559909399999995
04617-000;-23.618325;-46.676611799999996;04650-000;-23.656877899999998;-46.6747591
08151-000;-23.5076249;-46.4044739;01207-000;-23.538581699999998;-46.6390861
04119-000;-23.592943899999998;-46.6351992;05159-000;-23.4871872;-46.752582200000006
02186-000;-23.5139547;-46.5687675;05820-000;-23.6785228;-46.74680739999999
02460-000;-23.491554500000003;-46.6364297;04459-000;-23.6941808;-46.672344700000004
03402-000;-23.542047600000004;-46.5489521;02727-000;-23.4935764;-46.68623119999999
05639-000;-23.6091;-46.739991499999995;03237-000;-23.5910266;-46.5520989
05140-000;-23.4907962;-46.7254881;01318-000;-23.5565297;-46.640088299999995
04854-000;-23.7676385;-46.694887;05458-000;-23.5503027;-46.707767700000005
03425-000;-23.551069899999998;-46.53856649999999;04125-000;-23.6000766;-46.621714600000004
03201-000;-23.604634899999997;-46.568427899999996;03451-000;-23.5643785;-46.5138065
04652-000;-23.662454699999998;-46.6643689;01404-000;-23.566854100000004;-46.654103899999996
04016-000;-23.5857094;-46.63831679999999;04313-000;-23.6395034;-46.6404461
05049-000;-23.526771;-46.700700700000006;04674-000;-23.665025600000003;-46.686229
02969-000;-23.4847277;-46.714914;05727-000;-23.6195342;-46.73485609999999
03261-000;-23.584811399999996;-46.5511723;01303-000;-23.5491306;-46.6485864
03936-000;-23.590162699999997;-46.496410100000006;04187-000;-23.6486599;-46.592735600000005
04042-000;-23.6025765;-46.638046700000004;01309-000;-23.5569581;-46.65896770000001
02189-000;-23.508013300000002;-46.5689954;04041-000;-23.6013552;-46.6397316
05116-000;-23.5122465;-46.7472719;03090-000;-23.530091;-46.552978700000004
05026-000;-23.5314802;-46.6900633;04207-000;-23.5903319;-46.602667700000005
02227-000;-23.479626100000004;-46.5722508;05409-000;-23.5586809;-46.6748032
04302-000;-23.6206695;-46.638089799999996;05372-000;-23.583808899999998;-46.76084470000001
03625-000;-23.5143235;-46.5114946;04640-000;-23.6338233;-46.681894899999996
08253-000;-23.541372199999998;-46.43940689999999;05729-000;-23.6424848;-46.74137279999999
08151-000;-23.5076249;-46.4044739;01026-000;-23.539405600000002;-46.63278769999999
08280-000;-23.557155899999998;-46.466515799999996;08330-000;-23.6104872;-46.4724283
03424-000;-23.550636100000002;-46.540859000000005;03355-000;-23.5587562;-46.553055
03373-000;-23.5748617;-46.5517619;04015-000;-23.5840561;-46.63704310000001
08051-000;-23.5154607;-46.46421309999999;03729-000;-23.5028575;-46.50613320000001
04883-000;-23.8098035;-46.7357609;02652-000;-23.4589495;-46.6536047
03530-000;-23.539945;-46.5224774;04842-000;-23.7316157;-46.688221
03139-000;-23.586177;-46.5896669;04206-000;-23.5866263;-46.6041561
02210-000;-23.483131600000004;-46.5915896;04624-000;-23.629151699999998;-46.6687971
02911-000;-23.5042812;-46.6973208;01135-000;-23.5232514;-46.6528609
03414-000;-23.5606737;-46.55125899999999;03613-000;-23.5183223;-46.5340162
03361-000;-23.570956699999996;-46.5309696;04607-000;-23.6233153;-46.67618820000001
02136-000;-23.498731600000003;-46.5826396;05092-000;-23.5152829;-46.71521729999999
03129-000;-23.581913;-46.59102439999999;04205-000;-23.5810908;-46.605915700000004
02312-000;-23.4661768;-46.5993846;03814-000;-23.487645;-46.4837813
03561-000;-23.5461111;-46.4956214;05711-000;-23.6110419;-46.7445093
03374-000;-23.5759172;-46.551200099999996;02209-000;-23.4823392;-46.5896644
03912-000;-23.5815255;-46.522881;05525-000;-23.6037435;-46.746636200000005
02967-000;-23.4812342;-46.7077351;08331-000;-23.6104872;-46.4724283
03311-000;-23.547731699999996;-46.5635172;04507-000;-23.586150600000003;-46.66728610000001
02227-000;-23.479626100000004;-46.5722508;05350-000;-23.569893;-46.76019429999999
03121-000;-23.562102199999998;-46.5978592;04297-000;-23.6317848;-46.6046343
05860-000;-23.6648001;-46.7673066;02259-000;-23.4708897;-46.5802801
03654-000;-23.5250428;-46.5177318;03153-000;-23.604634899999997;-46.568427899999996
03204-000;-23.595589;-46.556574299999994;05092-000;-23.5152829;-46.71521729999999
02318-000;-23.449708899999997;-46.587312299999994;02083-000;-23.495229600000002;-46.597013000000004
04312-000;-23.6322804;-46.6313181;03460-000;-23.5667;-46.514519299999996
03891-000;-23.5139063;-46.4891933;02517-000;-23.5085924;-46.661469200000006
03427-000;-23.551983;-46.5352217;03370-000;-23.5682155;-46.5597146
04042-000;-23.6025765;-46.638046700000004;01046-000;-23.546314000000002;-46.64368289999999
03694-000;-23.539846100000002;-46.47656629999999;02179-000;-23.5213391;-46.5681756
03127-000;-23.5789133;-46.586878999999996;08141-000;-23.512111800000003;-46.390068
03934-000;-23.590534100000003;-46.501667499999996;05577-000;-23.577614699999998;-46.7243724
01109-000;-23.5261331;-46.6240816;05881-000;-23.6821109;-46.781304
03125-000;-23.5704815;-46.5876009;02247-000;-23.4894914;-46.6004466
02713-000;-23.506587600000003;-46.68687569999999;04324-000;-23.6502763;-46.63778869999999
03524-000;-23.546573000000002;-46.513333;03977-000;-23.617235100000002;-46.498083
05171-000;-23.477853500000002;-46.747953100000004;02303-000;-23.482745899999998;-46.6109684
02079-000;-23.499387699999996;-46.603491399999996;03116-000;-23.5665408;-46.58807849999999
02737-000;-23.488992800000002;-46.6892778;05407-000;-23.5561471;-46.67921940000001
05727-000;-23.6195342;-46.73485609999999;05351-000;-23.5587451;-46.76027029999999
04763-000;-23.668677300000002;-46.7169915;08021-000;-23.4977936;-46.4411451
08240-000;-23.526460999999998;-46.4455459;04561-000;-23.6091526;-46.684666299999996
02312-000;-23.4661768;-46.5993846;04807-000;-23.7160987;-46.6963797
03168-000;-23.5497004;-46.5960461;01520-000;-23.559253899999998;-46.62073119999999
04174-000;-23.632634600000003;-46.606597799999996;01401-000;-23.5704612;-46.651790000000005
04518-000;-23.610780600000002;-46.6741555;01033-000;-23.5386431;-46.636143
01021-000;-23.5449428;-46.6323695;03376-000;-23.577981;-46.539660299999994
01527-000;-23.5631238;-46.626515500000004;03333-000;-23.5552839;-46.5736133
03821-000;-23.4890401;-46.5030656;03109-000;-23.581913;-46.59102439999999
01240-000;-23.544088600000002;-46.65801279999999;02116-000;-23.522351800000003;-46.5872261
04846-000;-23.7570314;-46.67657;05010-000;-23.5381495;-46.6752459
05075-000;-23.5213483;-46.7075223;04531-000;-23.5810457;-46.675657799999996
05351-000;-23.5587451;-46.76027029999999;04006-000;-23.5777562;-46.6476041
04689-000;-23.6693518;-46.692415600000004;03552-000;-23.5374612;-46.5038626
03453-000;-23.568141100000002;-46.509688;05345-000;-23.5547256;-46.7424773
04646-000;-23.6433516;-46.674806700000005;03195-000;-23.566570600000002;-46.5879757
08275-000;-23.568724300000003;-46.475454;08490-000;-23.590874600000003;-46.408076
09070-000;-23.65661;-46.553952;04917-000;-23.6891723;-46.74905829999999
02218-000;-23.486616100000003;-46.584663299999995;04830-000;-23.7307798;-46.6983522
02130-000;-23.507854100000003;-46.584836100000004;05726-000;-23.6195342;-46.73485609999999
03381-000;-23.5786509;-46.5350777;03346-000;-23.5599918;-46.5724255
03361-000;-23.570956699999996;-46.5309696;03504-000;-23.5361922;-46.53986159999999
03937-000;-23.585983600000002;-46.50101189999999;04693-000;-23.6760593;-46.686050200000004
04904-000;-23.6702544;-46.735504399999996;04671-000;-23.653649100000003;-46.684566100000005
08320-000;-23.6244728;-46.4758366;02432-000;-23.4856728;-46.6354706
08235-000;-23.5184016;-46.458015;03260-000;-23.6052566;-46.519270500000005
02318-000;-23.449708899999997;-46.587312299999994;04606-000;-23.6223312;-46.676758
03425-000;-23.551069899999998;-46.53856649999999;01132-000;-23.523061300000002;-46.6489232
02318-000;-23.449708899999997;-46.587312299999994;03281-000;-23.581961800000002;-46.552287299999996
05008-000;-23.5385451;-46.6690123;03211-000;-23.599554100000002;-46.5511073
03607-000;-23.520630399999998;-46.5440289;02143-000;-23.508279199999997;-46.57540059999999
03180-000;-23.561388600000004;-46.5876735;04547-000;-23.6015892;-46.67552979999999
04846-000;-23.7570314;-46.67657;03244-000;-23.601001999999998;-46.5394541
04776-000;-23.6800642;-46.70624129999999;01404-000;-23.566854100000004;-46.654103899999996
03312-000;-23.5437272;-46.5614093;02561-000;-23.493239000000003;-46.67519979999999
03889-000;-23.5170405;-46.4762808;02435-000;-23.480772199999997;-46.6384544
08485-000;-23.596900100000003;-46.40456349999999;04913-000;-23.677088;-46.739991499999995
03733-000;-23.5116736;-46.52692649999999;04715-000;-23.6367564;-46.692886200000004
03581-000;-23.552807;-46.4975467;04021-000;-23.5937469;-46.641518
03515-000;-23.5381596;-46.5279816;04249-000;-23.6178278;-46.5999675
08340-000;-23.5986079;-46.4644024;01312-000;-23.554578699999997;-46.648763
03591-000;-23.550918600000003;-46.48036200000001;04042-000;-23.6025765;-46.638046700000004
05778-000;-23.6418031;-46.74865629999999;02034-000;-23.5033329;-46.62354439999999
02931-000;-23.496016;-46.7108518;01422-000;-23.566035999999997;-46.6586142
08330-000;-23.6104872;-46.4724283;03962-000;-23.602214800000002;-46.4782441
03361-000;-23.570956699999996;-46.5309696;04101-000;-23.5741677;-46.640412299999994
03934-000;-23.590534100000003;-46.501667499999996;05119-000;-23.4974503;-46.73553029999999
02167-000;-23.511894899999998;-46.57488679999999;04447-000;-23.692491699999998;-46.6611625
02992-000;-23.4518799;-46.730604;04678-000;-23.6708901;-46.6807956
02017-000;-23.5000629;-46.6302681;01155-000;-23.531311600000002;-46.6609642
08280-000;-23.557155899999998;-46.466515799999996;03251-000;-23.6084914;-46.534035100000004
04913-000;-23.677088;-46.739991499999995;01309-000;-23.5569581;-46.65896770000001
05116-000;-23.5122465;-46.7472719;03263-000;-23.587513100000002;-46.54695770000001
04904-000;-23.6702544;-46.735504399999996;04252-000;-23.613450399999998;-46.5993648
01022-000;-23.5448448;-46.6334325;05047-000;-23.526018399999998;-46.695218700000005
02521-000;-23.502504300000002;-46.663293200000005;08030-000;-23.505577300000002;-46.422487100000005
04232-000;-23.610199800000004;-46.5951461;05712-000;-23.614990600000002;-46.72631810000001
02022-000;-23.507696600000003;-46.637952500000004;03727-000;-23.499710600000004;-46.512407
04857-000;-23.7865465;-46.6826067;03813-000;-23.4890349;-46.4739139
08280-000;-23.557155899999998;-46.466515799999996;01418-000;-23.5655598;-46.654542299999996
04821-000;-23.7261738;-46.6838141;03513-000;-23.5391078;-46.52408459999999
02017-000;-23.5000629;-46.6302681;03970-000;-23.6135495;-46.4794974
02918-000;-23.496636300000002;-46.7135128;04366-000;-23.6599073;-46.66630929999999
03905-000;-23.5789139;-46.5144605;05143-000;-23.496315300000003;-46.72246699999999
03758-000;-23.5045804;-46.50001899999999;02937-000;-23.4828877;-46.7205547
02925-000;-23.5008851;-46.69974939999999;04747-000;-23.6585775;-46.7031625
03376-000;-23.577981;-46.539660299999994;04085-000;-23.6139169;-46.6642333
03139-000;-23.586177;-46.5896669;02550-000;-23.5055305;-46.6710393
04301-000;-23.6219797;-46.63050629999999;05404-000;-23.562062;-46.6832104
08050-000;-23.504139300000002;-46.4467791;03802-000;-23.495167000000002;-46.48318
03126-000;-23.581913;-46.59102439999999;03061-000;-23.5411689;-46.585665999999996
01259-000;-23.5413415;-46.6870441;05727-000;-23.6195342;-46.73485609999999
02730-000;-23.499448899999997;-46.6918675;04022-000;-23.5945703;-46.64207929999999
04243-000;-23.6261313;-46.58659;03186-000;-23.5566908;-46.594386799999995
04652-000;-23.662454699999998;-46.6643689;05639-000;-23.6091;-46.739991499999995
02041-000;-23.4921174;-46.61804179999999;05092-000;-23.5152829;-46.71521729999999
03909-000;-23.5869914;-46.5103799;04205-000;-23.5810908;-46.605915700000004
02967-000;-23.4812342;-46.7077351;03502-000;-23.5353301;-46.5407659
03168-000;-23.5497004;-46.5960461;05036-000;-23.5163686;-46.6905783
03572-000;-23.5728721;-46.4983075;01416-000;-23.5582407;-46.6657133
05330-000;-23.5432281;-46.7500461;02721-000;-23.471459399999997;-46.6665266
02341-000;-23.474091100000003;-46.613612700000004;03405-000;-23.53969;-46.55275289999999
03043-000;-23.5521669;-46.6123188;03227-000;-23.5892162;-46.5677875
02132-000;-23.5002125;-46.58108499999999;05001-000;-23.5264533;-46.6734842
03937-000;-23.585983600000002;-46.50101189999999;01214-000;-23.5384056;-46.645794200000005
02072-000;-23.4999826;-46.6110152;01414-000;-23.5551994;-46.65875339999999
02940-000;-23.4805994;-46.723198700000005;04530-000;-23.5840174;-46.673654799999994
03905-000;-23.5789139;-46.5144605;03227-000;-23.5892162;-46.5677875
01532-000;-23.5699585;-46.63577739999999;04013-000;-23.5788556;-46.6421748
04401-000;-23.662454699999998;-46.6643689;05886-000;-23.686662899999998;-46.795269
05108-000;-23.508490300000002;-46.761931;03085-000;-23.532074100000003;-46.567621
04941-000;-23.6974206;-46.7790973;05026-000;-23.5314802;-46.6900633
02227-000;-23.479626100000004;-46.5722508;04849-000;-23.7420355;-46.6726679
04821-000;-23.7261738;-46.6838141;04363-000;-23.6482796;-46.669374
08240-000;-23.526460999999998;-46.4455459;08110-000;-23.4972827;-46.402072600000004
04339-000;-23.666434;-46.64258;05678-000;-23.5987657;-46.7048899
03311-000;-23.547731699999996;-46.5635172;04515-000;-23.6016424;-46.6639981
05271-000;-23.4294505;-46.792615000000005;05434-000;-23.5556948;-46.6903162
03613-000;-23.5183223;-46.5340162;04902-000;-23.6705503;-46.729717799999996
03152-000;-23.5858581;-46.5843358;01137-000;-23.5232057;-46.6541839
04417-000;-23.6788078;-46.634936700000004;01529-000;-23.5675926;-46.6337305
04014-000;-23.5832724;-46.6412965;01529-000;-23.5675926;-46.6337305
03737-000;-23.5074858;-46.513135;02019-000;-23.4984698;-46.6285805
03425-000;-23.551069899999998;-46.53856649999999;04421-000;-23.6920122;-46.6403652
03978-000;-23.616174800000003;-46.502007;05763-000;-23.6431842;-46.7619836
05012-000;-23.5426269;-46.6740414;04203-000;-23.5839581;-46.6077091
03677-000;-23.5155771;-46.49400439999999;02065-000;-23.5058014;-46.60444100000001
08248-000;-23.5291212;-46.432849600000004;02011-000;-23.5126857;-46.62629520000001
04054-000;-23.616044;-46.6429234;05350-000;-23.569893;-46.76019429999999
03620-000;-23.511072;-46.5084406;03286-000;-23.5923027;-46.5343784
03201-000;-23.604634899999997;-46.568427899999996;04081-000;-23.6086845;-46.66386319999999
04613-000;-23.6138764;-46.66932689999999;03550-000;-23.532872100000002;-46.5079711
03222-000;-23.5876642;-46.5592895;05085-000;-23.526823899999997;-46.7288114
04763-000;-23.668677300000002;-46.7169915;03958-000;-23.599366399999997;-46.48322160000001
04602-000;-23.624464899999996;-46.6834867;05010-000;-23.5381495;-46.6752459
02474-000;-23.477487300000004;-46.6544047;03531-000;-23.5411853;-46.518468799999994
03050-000;-23.544412;-46.612906200000005;03143-000;-23.5904734;-46.579479799999994
04470-000;-23.7144974;-46.653637200000006;04583-000;-23.6188939;-46.69330160000001
08225-000;-23.5219023;-46.4526581;08450-000;-23.543273499999998;-46.4044739
05026-000;-23.5314802;-46.6900633;04203-000;-23.5839581;-46.6077091
02218-000;-23.486616100000003;-46.584663299999995;05118-000;-23.5152634;-46.74640429999999
03402-000;-23.542047600000004;-46.5489521;01313-000;-23.554765600000003;-46.64856530000001
04314-000;-23.6354999;-46.6337305;02022-000;-23.507696600000003;-46.637952500000004
05351-000;-23.5587451;-46.76027029999999;03360-000;-23.5697294;-46.545334000000004
03168-000;-23.5497004;-46.5960461;05727-000;-23.6195342;-46.73485609999999
01545-000;-23.578236999999998;-46.6216472;05352-000;-23.544551199999997;-46.7630442
05586-000;-23.573300500000002;-46.7273775;05136-000;-23.4994131;-46.7468984
04816-000;-23.7052401;-46.68550140000001;02374-000;-23.4543488;-46.6235757
03533-000;-23.549141600000002;-46.5084406;02940-000;-23.4805994;-46.723198700000005
01031-000;-23.5425893;-46.6346352;02712-000;-23.5048684;-46.6757249
02071-000;-23.5036939;-46.609404600000005;03646-000;-23.526927800000003;-46.52944979999999
02722-000;-23.5027033;-46.6831026;04571-000;-23.6069438;-46.6954541
03633-000;-23.529278;-46.5471732;05849-000;-23.6467713;-46.7635879
04311-000;-23.633986;-46.637952500000004;05541-000;-23.5884137;-46.74307659999999
02041-000;-23.4921174;-46.61804179999999;04145-000;-23.6164129;-46.63158199999999
04455-000;-23.6807482;-46.67657;03508-000;-23.5360826;-46.53251029999999
04348-000;-23.6460579;-46.6521581;03965-000;-23.6013022;-46.4771675
04142-000;-23.610857;-46.637623600000005;04116-000;-23.59211;-46.6274492
03603-000;-23.5233956;-46.5503256;04294-000;-23.619147299999998;-46.6072005
01330-000;-23.5589457;-46.649651399999996;04571-000;-23.6069438;-46.6954541
04167-000;-23.632881;-46.6125018;04205-000;-23.5810908;-46.605915700000004
03378-000;-23.570835;-46.54151969999999;05635-000;-23.6026202;-46.73493320000001
04163-000;-23.6307908;-46.6144469;04693-000;-23.6760593;-46.686050200000004
03929-000;-23.6051793;-46.487866499999996;08441-000;-23.5274073;-46.4032732
03726-000;-23.5005901;-46.5133288;04208-000;-23.5902898;-46.60144469999999
02041-000;-23.4921174;-46.61804179999999;01153-000;-23.5322723;-46.651855100000006
03912-000;-23.5815255;-46.522881;04532-000;-23.583260600000003;-46.676136299999996
04186-000;-23.644471399999997;-46.598017999999996;03737-000;-23.5074858;-46.513135
03690-000;-23.527349800000003;-46.4790647;04349-000;-23.648220499999997;-46.642734000000004
04776-000;-23.6800642;-46.70624129999999;03318-000;-23.545074;-46.568769200000006
03250-000;-23.603766699999998;-46.5310591;03064-000;-23.535343700000002;-46.5830194
02652-000;-23.4589495;-46.6536047;01216-000;-23.5336982;-46.647948
05033-000;-23.522723100000004;-46.690466;05833-000;-23.671045499999998;-46.758731299999994
04055-000;-23.617196399999997;-46.6410527;08110-000;-23.4972827;-46.402072600000004
05409-000;-23.5586809;-46.6748032;05172-000;-23.4813359;-46.7442943
02512-000;-23.5130391;-46.6597146;04119-000;-23.592943899999998;-46.6351992
02925-000;-23.5008851;-46.69974939999999;03287-000;-23.594804999999997;-46.534862100000005
04014-000;-23.5832724;-46.6412965;03316-000;-23.543055600000002;-46.56689
02017-000;-23.5000629;-46.6302681;04190-000;-23.650852800000003;-46.6041867
03934-000;-23.590534100000003;-46.501667499999996;05047-000;-23.526018399999998;-46.695218700000005
02652-000;-23.4589495;-46.6536047;04662-000;-23.658916899999998;-46.6990719
04703-000;-23.6231763;-46.6888239;05658-000;-23.6036433;-46.72246699999999
03905-000;-23.5789139;-46.5144605;03171-000;-23.5497004;-46.5960461
03984-000;-23.606901999999998;-46.5094925;05463-000;-23.5546823;-46.70347899999999
02136-000;-23.498731600000003;-46.5826396;08011-000;-23.4977936;-46.4411451
04835-000;-23.736106699999997;-46.7055527;03421-000;-23.549727700000002;-46.544165899999996
03257-000;-23.611393600000003;-46.528966100000005;03065-000;-23.5376468;-46.57929470000001
02017-000;-23.5000629;-46.6302681;04134-000;-23.6083611;-46.6219005
03905-000;-23.5789139;-46.5144605;03557-000;-23.5431289;-46.504831200000005
01309-000;-23.5569581;-46.65896770000001;03804-000;-23.5033948;-46.4831018
04821-000;-23.7261738;-46.6838141;08110-000;-23.4972827;-46.402072600000004
05581-000;-23.5661992;-46.71763379999999;04602-000;-23.624464899999996;-46.6834867
03976-000;-23.610073;-46.494712400000004;04194-000;-23.635277;-46.615602700000004
03058-000;-23.537906399999997;-46.58828200000001;04671-000;-23.653649100000003;-46.684566100000005
05382-000;-23.575181100000002;-46.7626237;04726-000;-23.6410851;-46.7116949
02722-000;-23.5027033;-46.6831026;02636-000;-23.4543475;-46.6451815
03620-000;-23.511072;-46.5084406;04532-000;-23.583260600000003;-46.676136299999996
03674-000;-23.5173699;-46.4978773;03907-000;-23.586615300000002;-46.5077454
02876-000;-23.4487513;-46.6913256;01135-000;-23.5232514;-46.6528609
05408-000;-23.556033600000003;-46.6792575;03220-000;-23.590130600000002;-46.5522611
03937-000;-23.585983600000002;-46.50101189999999;05409-000;-23.5586809;-46.6748032
08070-000;-23.4959432;-46.45973529999999;04187-000;-23.6486599;-46.592735600000005
02542-000;-23.489195600000002;-46.6586065;05074-000;-23.5189742;-46.7048158
03821-000;-23.4890401;-46.5030656;02420-000;-23.4748697;-46.6359062
